clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
BMLhandball_S09_Novice_Trial_upper_right_left_118_poses_120_jpos,screened,464,50.0,10,3,0.3,0.392,0.07543103448275862,0.07543103448275862,0.5193965517241379,0.4224137931034483,4,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_right_left_176_poses_120_jpos,screened,588,50.0,12,9,0.75,0.7799999999999999,0.013605442176870748,0.013605442176870748,0.1836734693877551,0.7959183673469388,1,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_right_left_181_poses_120_jpos,screened,456,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_right_left_234_poses_120_jpos,screened,492,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_11_F_MoSh_Subject_11_F_11_poses_120_jpos,screened,230,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_13_F_MoSh_Subject_13_F_9_poses_120_jpos,screened,380,50.0,8,8,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_15_F_MoSh_Subject_15_F_14_poses_120_jpos,screened,400,50.0,8,1,0.125,0.24,0.0775,0.0775,0.76,0.24,12,torque_limited,0.06
BMLmovi_Subject_15_F_MoSh_Subject_15_F_16_poses_120_jpos,screened,452,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_17_F_MoSh_Subject_17_F_10_poses_120_jpos,screened,115,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_17_F_MoSh_Subject_17_F_14_poses_120_jpos,screened,342,50.0,7,1,0.14285714285714285,0.18285714285714286,0.34502923976608185,0.34502923976608185,0.6988304093567251,0.1871345029239766,2,torque_limited,0.06
BMLmovi_Subject_17_F_MoSh_Subject_17_F_20_poses_120_jpos,screened,170,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_18_F_MoSh_Subject_18_F_17_poses_120_jpos,screened,174,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_18_F_MoSh_Subject_18_F_1_poses_120_jpos,screened,277,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_18_F_MoSh_Subject_18_F_3_poses_120_jpos,screened,157,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_1_F_MoSh_Subject_1_F_13_poses_120_jpos,screened,285,50.0,6,0,0.0,0.0,0.10877192982456141,0.10877192982456141,0.887719298245614,0.0,6,torque_limited,0.06
BMLmovi_Subject_20_F_MoSh_Subject_20_F_17_poses_120_jpos,screened,97,50.0,2,2,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_20_F_MoSh_Subject_20_F_7_poses_120_jpos,screened,145,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_20_F_MoSh_Subject_20_F_8_poses_120_jpos,screened,192,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_22_F_MoSh_Subject_22_F_10_poses_120_jpos,screened,127,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_22_F_MoSh_Subject_22_F_12_poses_120_jpos,screened,169,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_22_F_MoSh_Subject_22_F_1_poses_120_jpos,screened,487,50.0,10,0,0.0,0.0,0.03490759753593429,0.03490759753593429,0.8254620123203286,0.0,5,torque_limited,0.06
BMLmovi_Subject_22_F_MoSh_Subject_22_F_2_poses_120_jpos,screened,150,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_24_F_MoSh_Subject_24_F_12_poses_120_jpos,screened,245,50.0,5,2,0.4,0.44000000000000006,0.08163265306122448,0.08163265306122448,0.5469387755102041,0.42857142857142855,5,torque_limited,0.06
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,screened,144,50.0,3,0,0.0,0.0,0.034722222222222224,0.034722222222222224,0.7291666666666666,0.0,1,torque_limited,0.06
BMLmovi_Subject_27_F_MoSh_Subject_27_F_17_poses_120_jpos,screened,494,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_27_F_MoSh_Subject_27_F_19_poses_120_jpos,screened,209,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_27_F_MoSh_Subject_27_F_5_poses_120_jpos,screened,529,50.0,11,3,0.2727272727272727,0.32727272727272727,0.20793950850661624,0.20793950850661624,0.5879017013232514,0.34026465028355385,3,torque_limited,0.06
BMLmovi_Subject_29_F_MoSh_Subject_29_F_21_poses_120_jpos,screened,272,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_30_F_MoSh_Subject_30_F_5_poses_120_jpos,screened,189,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_31_F_MoSh_Subject_31_F_21_poses_120_jpos,screened,289,50.0,6,4,0.6666666666666666,0.73,0.006920415224913495,0.006920415224913495,0.28027681660899656,0.7197231833910035,1,torque_limited,0.06
BMLmovi_Subject_31_F_MoSh_Subject_31_F_4_poses_120_jpos,screened,177,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_31_F_MoSh_Subject_31_F_8_poses_120_jpos,screened,277,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_32_F_MoSh_Subject_32_F_19_poses_120_jpos,screened,285,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_32_F_MoSh_Subject_32_F_9_poses_120_jpos,screened,177,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_34_F_MoSh_Subject_34_F_20_poses_120_jpos,screened,284,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_36_F_MoSh_Subject_36_F_11_poses_120_jpos,screened,249,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_36_F_MoSh_Subject_36_F_12_poses_120_jpos,screened,492,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_36_F_MoSh_Subject_36_F_21_poses_120_jpos,screened,217,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_39_F_MoSh_Subject_39_F_14_poses_120_jpos,screened,160,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_39_F_MoSh_Subject_39_F_17_poses_120_jpos,screened,207,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_39_F_MoSh_Subject_39_F_18_poses_120_jpos,screened,294,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_39_F_MoSh_Subject_39_F_20_poses_120_jpos,screened,209,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_39_F_MoSh_Subject_39_F_6_poses_120_jpos,screened,229,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,screened,224,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_6_poses_120_jpos,screened,137,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_3_F_MoSh_Subject_3_F_7_poses_120_jpos,screened,224,50.0,5,0,0.0,0.0,0.16071428571428573,0.16071428571428573,0.9375,0.0,4,torque_limited,0.06
BMLmovi_Subject_41_F_MoSh_Subject_41_F_16_poses_120_jpos,screened,185,50.0,4,0,0.0,0.0,0.15675675675675677,0.15675675675675677,0.8648648648648649,0.0,3,torque_limited,0.06
BMLmovi_Subject_41_F_MoSh_Subject_41_F_17_poses_120_jpos,screened,129,50.0,3,0,0.0,0.0,0.3875968992248062,0.3875968992248062,1.0,0.0,1,torque_limited,0.06
BMLmovi_Subject_41_F_MoSh_Subject_41_F_2_poses_120_jpos,screened,409,50.0,9,9,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_41_F_MoSh_Subject_41_F_5_poses_120_jpos,screened,182,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_48_F_MoSh_Subject_48_F_11_poses_120_jpos,screened,232,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_48_F_MoSh_Subject_48_F_16_poses_120_jpos,screened,522,50.0,11,3,0.2727272727272727,0.35818181818181816,0.19923371647509577,0.19923371647509577,0.5842911877394636,0.32375478927203066,3,torque_limited,0.06
BMLmovi_Subject_48_F_MoSh_Subject_48_F_18_poses_120_jpos,screened,515,50.0,11,11,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_51_F_MoSh_Subject_51_F_5_poses_120_jpos,screened,285,50.0,6,0,0.0,0.0,0.21052631578947367,0.21052631578947367,0.9508771929824561,0.0,5,torque_limited,0.06
BMLmovi_Subject_51_F_MoSh_Subject_51_F_9_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_53_F_MoSh_Subject_53_F_20_poses_120_jpos,screened,435,50.0,9,1,0.1111111111111111,0.1622222222222222,0.15632183908045977,0.15632183908045977,0.8482758620689655,0.13333333333333333,12,torque_limited,0.06
BMLmovi_Subject_53_F_MoSh_Subject_53_F_3_poses_120_jpos,screened,259,50.0,6,2,0.3333333333333333,0.4166666666666667,0.019305019305019305,0.019305019305019305,0.40540540540540543,0.4826254826254826,1,torque_limited,0.06
BMLmovi_Subject_55_F_MoSh_Subject_55_F_10_poses_120_jpos,screened,182,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_55_F_MoSh_Subject_55_F_13_poses_120_jpos,screened,207,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_55_F_MoSh_Subject_55_F_21_poses_120_jpos,screened,414,50.0,9,9,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_55_F_MoSh_Subject_55_F_3_poses_120_jpos,screened,182,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_57_F_MoSh_Subject_57_F_14_poses_120_jpos,screened,577,50.0,12,12,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,screened,300,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_58_F_MoSh_Subject_58_F_3_poses_120_jpos,screened,475,50.0,10,10,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_5_F_MoSh_Subject_5_F_10_poses_120_jpos,screened,149,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_5_F_MoSh_Subject_5_F_9_poses_120_jpos,screened,119,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_62_F_MoSh_Subject_62_F_3_poses_120_jpos,screened,240,50.0,5,0,0.0,0.0,0.1,0.1,0.9416666666666667,0.0,5,torque_limited,0.06
BMLmovi_Subject_62_F_MoSh_Subject_62_F_7_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_62_F_MoSh_Subject_62_F_8_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_64_F_MoSh_Subject_64_F_13_poses_120_jpos,screened,194,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_64_F_MoSh_Subject_64_F_14_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_64_F_MoSh_Subject_64_F_19_poses_120_jpos,screened,200,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_67_F_MoSh_Subject_67_F_17_poses_120_jpos,screened,215,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_67_F_MoSh_Subject_67_F_21_poses_120_jpos,screened,562,50.0,12,12,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_69_F_MoSh_Subject_69_F_18_poses_120_jpos,screened,405,50.0,9,9,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_69_F_MoSh_Subject_69_F_1_poses_120_jpos,screened,722,50.0,15,12,0.8,0.804,0.018005540166204988,0.018005540166204988,0.15650969529085873,0.8351800554016621,1,torque_limited,0.06
BMLmovi_Subject_6_F_MoSh_Subject_6_F_2_poses_120_jpos,screened,119,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_70_F_MoSh_Subject_70_F_19_poses_120_jpos,screened,127,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_71_F_MoSh_Subject_71_F_13_poses_120_jpos,screened,179,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_72_F_MoSh_Subject_72_F_15_poses_120_jpos,screened,204,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_72_F_MoSh_Subject_72_F_17_poses_120_jpos,screened,172,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_72_F_MoSh_Subject_72_F_5_poses_120_jpos,screened,319,50.0,7,4,0.5714285714285714,0.6885714285714286,0.02821316614420063,0.02821316614420063,0.34169278996865204,0.658307210031348,1,torque_limited,0.06
BMLmovi_Subject_72_F_MoSh_Subject_72_F_6_poses_120_jpos,screened,237,50.0,5,2,0.4,0.404,0.1350210970464135,0.1350210970464135,0.5569620253164557,0.37130801687763715,1,torque_limited,0.06
BMLmovi_Subject_74_F_MoSh_Subject_74_F_11_poses_120_jpos,screened,229,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_74_F_MoSh_Subject_74_F_20_poses_120_jpos,screened,412,50.0,9,3,0.3333333333333333,0.35333333333333333,0.07766990291262135,0.07766990291262135,0.616504854368932,0.2936893203883495,6,torque_limited,0.06
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,screened,299,50.0,6,0,0.0,0.0,0.4180602006688963,0.4180602006688963,0.9464882943143813,0.0,2,torque_limited,0.06
BMLmovi_Subject_76_F_MoSh_Subject_76_F_10_poses_120_jpos,screened,444,50.0,9,9,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_79_F_MoSh_Subject_79_F_10_poses_120_jpos,screened,199,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_79_F_MoSh_Subject_79_F_15_poses_120_jpos,screened,214,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_81_F_MoSh_Subject_81_F_15_poses_120_jpos,screened,194,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_83_F_MoSh_Subject_83_F_19_poses_120_jpos,screened,269,50.0,6,2,0.3333333333333333,0.43333333333333335,0.007434944237918215,0.007434944237918215,0.379182156133829,0.483271375464684,1,torque_limited,0.06
BMLmovi_Subject_83_F_MoSh_Subject_83_F_21_poses_120_jpos,screened,190,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_85_F_MoSh_Subject_85_F_4_poses_120_jpos,screened,347,50.0,7,7,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_85_F_MoSh_Subject_85_F_7_poses_120_jpos,screened,182,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_88_F_MoSh_Subject_88_F_17_poses_120_jpos,screened,174,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,screened,197,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_02_02_08_poses_120_jpos,screened,625,50.0,13,4,0.3076923076923077,0.42,0.1168,0.1168,0.5824,0.3968,3,torque_limited,0.06
CMU_06_06_01_poses_120_jpos,screened,206,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_06_06_14_poses_120_jpos,screened,200,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_07_07_01_poses_120_jpos,screened,132,50.0,3,0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.7348484848484849,0.0,4,torque_limited,0.06
CMU_102_102_20_poses_120_jpos,screened,253,50.0,6,0,0.0,0.0,0.30434782608695654,0.30434782608695654,0.8537549407114624,0.0,8,torque_limited,0.06
CMU_105_105_06_poses_120_jpos,screened,57,50.0,2,2,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_105_105_11_poses_120_jpos,screened,776,50.0,16,13,0.8125,0.8725,0.002577319587628866,0.002577319587628866,0.13144329896907217,0.8685567010309279,1,torque_limited,0.06
CMU_105_105_21_poses_120_jpos,screened,1613,50.0,33,33,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_105_105_35_poses_120_jpos,screened,1272,50.0,26,26,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_106_106_11_poses_60_jpos,screened,571,50.0,12,9,0.75,0.8150000000000001,0.01926444833625219,0.01926444833625219,0.19439579684763572,0.8056042031523643,1,torque_limited,0.06
CMU_107_107_01_poses_60_jpos,screened,442,50.0,9,9,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_108_108_11_poses_120_jpos,screened,102,50.0,3,0,0.0,0.0,0.09803921568627451,0.09803921568627451,1.0,0.0,4,torque_limited,0.06
CMU_108_108_13_poses_120_jpos,screened,65,50.0,2,0,0.0,0.0,0.12307692307692308,0.12307692307692308,1.0,0.0,2,torque_limited,0.06
CMU_108_108_20_poses_120_jpos,screened,116,50.0,3,0,0.0,0.0,0.05172413793103448,0.05172413793103448,1.0,0.0,3,torque_limited,0.06
CMU_111_111_37_poses_120_jpos,screened,135,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_114_114_01_poses_120_jpos,screened,134,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_114_114_04_poses_120_jpos,screened,373,50.0,8,5,0.625,0.655,0.2359249329758713,0.2359249329758713,0.3699731903485255,0.6300268096514745,1,torque_limited,0.06
CMU_114_114_06_poses_120_jpos,screened,426,50.0,9,4,0.4444444444444444,0.4955555555555555,0.4154929577464789,0.4154929577464789,0.5328638497652582,0.4671361502347418,1,torque_limited,0.06
CMU_114_114_09_poses_120_jpos,screened,949,50.0,19,5,0.2631578947368421,0.3336842105263158,0.41938883034773444,0.41938883034773444,0.6301369863013698,0.3329820864067439,2,torque_limited,0.06
CMU_114_114_13_poses_120_jpos,screened,1305,50.0,27,27,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
CMU_115_115_06_poses_60_jpos,screened,297,50.0,6,2,0.3333333333333333,0.44333333333333336,0.2053872053872054,0.2053872053872054,0.5420875420875421,0.4377104377104377,1,torque_limited,0.06
CMU_118_118_10_poses_120_jpos,screened,218,50.0,5,2,0.4,0.41600000000000004,0.009174311926605505,0.009174311926605505,0.46788990825688076,0.3302752293577982,1,torque_limited,0.06
CMU_118_118_19_poses_120_jpos,screened,255,50.0,6,1,0.16666666666666666,0.32666666666666666,0.03137254901960784,0.03137254901960784,0.43529411764705883,0.3843137254901961,2,torque_limited,0.06
CMU_120_120_07_poses_120_jpos,screened,464,50.0,10,1,0.1,0.13599999999999998,0.17672413793103448,0.17672413793103448,0.790948275862069,0.14655172413793102,8,torque_limited,0.06
